Academic Yr,Semester Year Letter Cd Concat,Semester Nm,Degree Level Desc,Major Short Nm,Ucb Level2 Ethnic Rollup Desc,Short Ethnic Desc,Gender Desc,Student Headcount,Prorated Degrees Awarded Cnt,College/School,Division,Department,Major
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,International,International,Female,7,5.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,International,International,Male,12,9.66666666666667,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,White,White,Female,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2015 D,Fall,Bachelor,L&S Computer Science,White,White,Male,20,17,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Chinese,Female,31,26,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Chinese,Male,70,62.3333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Filipino,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Filipino,Male,6,5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Japanese,Male,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Korean,Female,5,4.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Korean,Male,6,6,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Other Asian,Female,3,2.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Other Asian,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,South Asian,Female,11,9.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,South Asian,Male,23,20.3333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Vietnamese,Female,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Asian,Vietnamese,Male,8,8,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Mexican American/Chicano,Female,1,0.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Mexican American/Chicano,Male,4,3.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Other Hispanic/Latino,Female,2,1.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Other Hispanic/Latino,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Decline to State,Decline to State,Female,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,Decline to State,Decline to State,Male,7,6.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,International,International,Female,12,10.3333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,International,International,Male,38,32.1666666666667,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,White,White,Female,5,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2015-16,2016 B,Spring,Bachelor,L&S Computer Science,White,White,Male,39,34.3333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,Asian,Chinese,Female,3,2.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,Asian,Chinese,Male,5,4.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,Asian,Filipino,Male,1,0.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,Asian,Japanese,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,Asian,Korean,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,Asian,South Asian,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,Asian,South Asian,Male,2,1.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,Decline to State,Decline to State,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,Decline to State,Decline to State,Male,3,2.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,International,International,Female,4,2.33333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,International,International,Male,5,4.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,White,White,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 C,Summer,Bachelor,L&S Computer Science,White,White,Male,5,4.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,Chinese,Female,9,7,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,Chinese,Male,28,23.6666666666667,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,Japanese,Male,4,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,Korean,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,Korean,Male,6,5.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,Other Asian,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,South Asian,Female,2,1.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,South Asian,Male,14,11.8333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,Vietnamese,Female,3,2.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Asian,Vietnamese,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Chicano/Latino,Mexican American/Chicano,Male,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Decline to State,Decline to State,Female,1,0.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,Decline to State,Decline to State,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,International,International,Female,7,6.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,International,International,Male,18,14.3333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,White,White,Female,8,5.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2016 D,Fall,Bachelor,L&S Computer Science,White,White,Male,24,20,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,African American,African American/Black,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Chinese,Female,40,35.8333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Chinese,Male,87,78.6666666666667,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Filipino,Female,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Filipino,Male,6,6,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Japanese,Male,5,3.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Korean,Female,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Korean,Male,12,10.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Other Asian,Female,1,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Other Asian,Male,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,South Asian,Female,12,10.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,South Asian,Male,32,27.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Vietnamese,Female,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Asian,Vietnamese,Male,10,8.33333333333333,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Mexican American/Chicano,Female,2,2,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Mexican American/Chicano,Male,6,5.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Other Hispanic/Latino,Female,2,1,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Chicano/Latino,Other Hispanic/Latino,Male,3,3,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
2016-17,2017 B,Spring,Bachelor,L&S Computer Science,Decline to State,Decline to State,Female,6,4.5,Clg of Letters & Science,L&S Administered Programs,L&S Computer Science,L&S Computer Science
